order id,order date,customer name,region,product category,sales,quantity,profit,discount
ORD0027,17-01-2025,Aarav Kumar,West,Office Supplies,28322.76,18,5924.64,0.22
ORD0028,22-10-2025,Arjun Patel,South,Electronics,74394.75,13,8440.13,0.14
ORD0029,24-08-2025,Meera Nair,South,Furniture,67730.8,13,18176.66,0.15
ORD0030,02-04-2025,Meera Nair,East,Furniture,21244.77,19,4141.67,0.3
ORD0031,05-04-2025,Pooja Menon,West,Home Decor,67076.78,16,17546.42,0.23
ORD0032,30-09-2025,Sneha Reddy,West,Home Decor,2140.56,11,155.04,0.28
ORD0033,02-12-2025,Neha Joshi,North,Home Decor,51366.59,9,9430.33,0.22
ORD0034,31-07-2025,Arjun Patel,South,Furniture,44522.58,2,3942.53,0.14
ORD0035,19-09-2025,Sneha Reddy,East,Furniture,62999.7,2,9295.19,0.24
ORD0036,07-04-2025,Priya Sharma,West,Furniture,21187.31,12,5948.58,0.02
ORD0037,14-10-2025,Rahul Verma,East,Sports,72037.03,18,16645.95,0.03
ORD0038,06-03-2025,Pooja Menon,South,Furniture,41353.91,2,7808.55,0.27
ORD0039,27-03-2025,Meera Nair,South,Home Decor,46011.61,20,11302.06,0.06
ORD0040,25-06-2025,Sanjay Iyer,West,Furniture,23752.44,4,5251.19,0.05
ORD0041,24-09-2025,Neha Joshi,North,Furniture,28885.93,4,7437.44,0.27
ORD0042,18-10-2025,Ananya Singh,North,Furniture,65782.04,6,8822.9,0.27
ORD0043,10-06-2025,Isha Mehta,North,Home Decor,30342.96,10,2337.9,0.33
ORD0044,06-01-2025,Aditya Roy,East,Home Decor,22884.16,4,5373.75,0.17
ORD0045,21-01-2025,Meera Nair,South,Home Decor,51582.98,11,11688.59,0.23
ORD0046,18-01-2025,Karthik Rao,East,Home Decor,17771,5,1203.24,0.24
ORD0047,28-05-2025,Neha Joshi,West,Clothing,38908.15,8,6702.16,0.06
ORD0048,28-01-2025,Sneha Reddy,South,Sports,20225.7,19,1949.03,0.03
ORD0049,15-01-2025,Pooja Menon,South,Furniture,67642.21,6,5360.94,0.22
ORD0050,11-05-2025,Rahul Verma,West,Furniture,1238.25,2,322.43,0.18
ORD0051,17-08-2025,Priya Sharma,South,Home Decor,18265.41,14,5039.16,0.05
ORD0052,16-02-2025,Meera Nair,South,Furniture,55288.96,16,14399.85,0.07
ORD0053,12-08-2025,Isha Mehta,South,Furniture,10961.42,8,2502.49,0.06
ORD0054,27-03-2025,Rohit Gupta,North,Furniture,18797.36,8,2785.76,0.24
ORD0055,26-09-2025,Vikram Das,North,Furniture,19536.81,19,2340.86,0.12
ORD0056,18-11-2025,Aarav Kumar,North,Clothing,5599.35,7,1033.69,0.32
ORD0057,05-04-2025,Arjun Patel,East,Electronics,43716.81,10,7099.96,0.07
ORD0058,23-03-2025,Meera Nair,West,Furniture,52547.96,17,9299.87,0.09
ORD0059,14-01-2025,Meera Nair,South,Furniture,46011.73,13,13194.9,0.01
ORD0060,12-07-2025,Sneha Reddy,South,Electronics,2593.7,6,410.35,0.07
ORD0061,12-05-2025,Sanjay Iyer,North,Sports,1054.96,4,86.18,0.23
ORD0062,09-07-2025,Ananya Singh,West,Home Decor,65829.97,18,6883.49,0.32
ORD0063,31-12-2025,Meera Nair,North,Office Supplies,40306.49,3,3806.59,0.33
ORD0064,16-06-2025,Isha Mehta,North,Office Supplies,65846.33,20,7212.08,0.22
ORD0065,07-12-2025,Ananya Singh,North,Home Decor,56034.14,3,4700.7,0.27
ORD0066,10-01-2025,Arjun Patel,West,Sports,33675.48,11,4042.28,0.18
ORD0067,22-12-2025,Vikram Das,North,Office Supplies,30479.84,7,8597.04,0.02
ORD0068,21-08-2025,Neha Joshi,West,Office Supplies,74712.74,3,5492.2,0.24
ORD0069,12-02-2025,Rohit Gupta,South,Clothing,15235.57,19,1126.19,0.2
ORD0070,14-06-2025,Sneha Reddy,South,Sports,48372.21,4,8994.48,0
ORD0071,27-05-2025,Rahul Verma,South,Sports,22226.25,6,1854.48,0.25
ORD0072,05-04-2025,Sanjay Iyer,West,Clothing,47753.96,3,9158.13,0.09
ORD0073,09-05-2025,Pooja Menon,South,Office Supplies,54843.14,2,12431.89,0.26
ORD0074,09-05-2025,Ananya Singh,West,Furniture,66743.37,20,16265.9,0.17
ORD0075,14-09-2025,Arjun Patel,West,Office Supplies,38007.74,6,4021.35,0.16
ORD0076,18-06-2025,Vikram Das,South,Home Decor,18016.56,12,1488.43,0.21
ORD0077,12-10-2025,Karthik Rao,South,Home Decor,1024.83,13,88.62,0.2
ORD0078,05-08-2025,Priya Sharma,West,Clothing,8892.68,1,2455.66,0.07
ORD0079,04-05-2025,Arjun Patel,South,Electronics,11848.34,9,1151.03,0.25
ORD0080,12-10-2025,Rohit Gupta,South,Electronics,46614.93,11,12399.72,0.01
ORD0081,02-06-2025,Karthik Rao,East,Home Decor,4168.68,9,824.6,0.17
ORD0082,22-04-2025,Meera Nair,South,Electronics,53026.7,18,12370.42,0.33
ORD0083,17-04-2025,Sanjay Iyer,West,Sports,36239.16,6,6522.2,0.21
ORD0084,23-09-2025,Pooja Menon,East,Electronics,2214.74,19,238.44,0.12
ORD0085,24-01-2025,Priya Sharma,East,Sports,42296.87,12,6631.34,0.06
ORD0086,19-12-2025,Priya Sharma,East,Electronics,50428.75,11,10319.86,0.15
ORD0087,21-01-2025,Rahul Verma,North,Clothing,29934.54,18,4371.2,0.19
ORD0088,25-11-2025,Pooja Menon,West,Office Supplies,8776.57,7,1047.47,0.34
ORD0089,02-02-2025,Arjun Patel,North,Electronics,28211.79,11,5281.84,0.21
ORD0090,06-11-2025,Rohit Gupta,East,Office Supplies,31179.08,5,8413.92,0.05
ORD0091,08-03-2025,Arjun Patel,North,Home Decor,38580.88,9,6742.42,0.05
ORD0092,10-10-2025,Rahul Verma,East,Office Supplies,33131.73,13,9555.82,0.03
ORD0093,16-01-2025,Aditya Roy,West,Furniture,36381.1,3,4904.33,0.17
ORD0094,17-09-2025,Aarav Kumar,South,Clothing,61029.92,3,10027.48,0.32
ORD0095,08-03-2025,Rohit Gupta,East,Sports,40634.59,2,10672.36,0.02
ORD0096,08-01-2025,Ananya Singh,South,Sports,39824.88,15,8687.67,0.17
ORD0097,21-04-2025,Neha Joshi,North,Home Decor,17292.53,14,2007.96,0.06
ORD0098,09-10-2025,Ananya Singh,East,Home Decor,2542.13,2,530.14,0.11
ORD0099,18-12-2025,Sneha Reddy,West,Office Supplies,70427.75,16,8194.05,0.27
ORD0100,28-06-2025,Neha Joshi,South,Sports,69145.31,11,9996.96,0.2
ORD0101,13-04-2025,Rohit Gupta,West,Sports,20531.75,17,5228.76,0.09
ORD0102,19-07-2025,Neha Joshi,West,Sports,74231.6,20,6199.99,0.11
ORD0103,30-03-2025,Sanjay Iyer,North,Sports,19507.63,6,4436.31,0.32
ORD0104,31-12-2025,Pooja Menon,North,Furniture,40113.99,8,5991.96,0.1
ORD0105,03-07-2025,Karthik Rao,South,Office Supplies,28715.91,6,6012.79,0
ORD0106,26-08-2025,Arjun Patel,West,Sports,24570.25,6,2744.86,0.11
ORD0107,12-11-2025,Aarav Kumar,West,Home Decor,50439.64,5,7637.48,0.28
ORD0108,14-09-2025,Priya Sharma,West,Office Supplies,58212.98,18,16240,0.11
ORD0109,27-12-2025,Priya Sharma,North,Furniture,73096.12,8,9892.64,0.28
ORD0110,06-05-2025,Neha Joshi,West,Furniture,26243.46,6,2842.18,0.02
ORD0111,19-11-2025,Ananya Singh,West,Furniture,54952.24,9,9816.08,0.15
ORD0112,04-04-2025,Rohit Gupta,West,Home Decor,65543.19,14,15130.23,0.11
ORD0113,28-03-2025,Isha Mehta,South,Clothing,43084.54,5,10718.89,0.33
ORD0114,26-08-2025,Rahul Verma,West,Sports,39382.53,20,6917.56,0.21
ORD0115,11-11-2025,Ananya Singh,North,Clothing,3476.1,15,551.27,0.07
ORD0116,06-01-2025,Karthik Rao,West,Office Supplies,62298.12,7,15616.84,0.04
ORD0117,08-10-2025,Karthik Rao,North,Electronics,10348.6,7,1414.03,0.05
ORD0118,10-05-2025,Aarav Kumar,East,Sports,73212.78,2,4926.9,0.27
ORD0119,23-04-2025,Isha Mehta,South,Furniture,39262.91,1,5648.71,0.06
ORD0120,30-06-2025,Pooja Menon,East,Office Supplies,68669.61,11,6178.77,0.09
ORD0121,20-08-2025,Priya Sharma,South,Home Decor,71674.11,7,9890.09,0.28
ORD0122,25-05-2025,Sanjay Iyer,East,Office Supplies,14777.77,16,2103.17,0.12
ORD0123,27-11-2025,Ananya Singh,West,Electronics,35744.99,9,3200.47,0.19
ORD0124,25-02-2025,Aditya Roy,North,Clothing,53668.33,12,13377.7,0.24
ORD0125,02-01-2025,Rahul Verma,East,Office Supplies,28038.38,11,7175.3,0.24
ORD0126,16-05-2025,Karthik Rao,South,Home Decor,62262.69,10,15489.42,0.29
ORD0127,10-02-2025,Priya Sharma,West,Electronics,59386.59,7,10199.81,0.04
ORD0128,14-06-2025,Sneha Reddy,South,Electronics,62993.24,18,12531.95,0.09
ORD0129,27-03-2025,Pooja Menon,North,Office Supplies,24264.2,13,5666.53,0.09
ORD0130,02-04-2025,Rahul Verma,North,Sports,5573.07,2,859.41,0.11
ORD0131,16-03-2025,Aarav Kumar,South,Office Supplies,49168.58,19,7350.9,0.09
ORD0132,03-05-2025,Aarav Kumar,South,Office Supplies,32938.07,4,2413.8,0.29
ORD0133,14-10-2025,Rahul Verma,North,Sports,44785.05,7,7183.23,0.11
ORD0134,13-03-2025,Isha Mehta,South,Furniture,69798.7,17,11116.58,0.16
ORD0135,11-04-2025,Ananya Singh,South,Office Supplies,39374.99,7,9757.78,0.31
ORD0136,16-04-2025,Priya Sharma,North,Furniture,3316.89,7,844.75,0.1
ORD0137,08-01-2025,Priya Sharma,North,Furniture,2162.41,3,233.05,0.04
ORD0138,10-01-2025,Neha Joshi,East,Office Supplies,58664.12,6,11492.62,0.16
ORD0139,08-08-2025,Rahul Verma,West,Furniture,38930.74,11,4784.38,0.32
ORD0140,19-12-2025,Arjun Patel,East,Home Decor,4160.53,7,303.33,0.24
ORD0141,10-10-2025,Meera Nair,South,Home Decor,35571.08,9,4918.22,0.3
ORD0142,19-04-2025,Priya Sharma,North,Furniture,36555.51,4,3456.02,0.28
ORD0143,08-03-2025,Rahul Verma,West,Electronics,44509.8,9,6406.14,0.03
ORD0144,22-09-2025,Sanjay Iyer,North,Sports,46660.27,20,6074.06,0.16
ORD0145,23-10-2025,Arjun Patel,West,Furniture,42412.53,15,10953.7,0.19
ORD0146,02-09-2025,Sanjay Iyer,South,Home Decor,45983.88,4,3088.69,0.31
ORD0147,25-11-2025,Priya Sharma,South,Home Decor,18427.29,17,3890.25,0.04
ORD0148,04-12-2025,Arjun Patel,North,Office Supplies,29501.56,12,5108.98,0.31
ORD0149,06-02-2025,Isha Mehta,South,Home Decor,56255.28,12,6942.47,0.05
ORD0150,04-09-2025,Meera Nair,West,Furniture,26409.49,8,3833.05,0.07
ORD0151,24-04-2025,Isha Mehta,North,Sports,60677.96,19,9080.11,0.04
ORD0152,12-05-2025,Ananya Singh,South,Furniture,69465.72,10,11486.47,0.26
ORD0153,24-05-2025,Aarav Kumar,East,Electronics,58031.01,13,10756.87,0.26
ORD0154,20-05-2025,Vikram Das,North,Furniture,29795.44,17,5248.2,0.3
ORD0155,02-10-2025,Meera Nair,South,Furniture,62244.56,17,7153.49,0.04
ORD0156,11-08-2025,Arjun Patel,West,Home Decor,65920.06,16,11204.9,0.35
ORD0157,21-08-2025,Isha Mehta,East,Furniture,26511.64,4,1828.09,0.24
ORD0158,03-03-2025,Sanjay Iyer,South,Sports,19058.2,10,1815.25,0.31
ORD0159,28-04-2025,Isha Mehta,West,Electronics,23866.65,13,3554.93,0.29
ORD0160,11-05-2025,Aditya Roy,North,Furniture,16271.5,3,2153.16,0.03
ORD0161,12-08-2025,Neha Joshi,South,Furniture,43109.82,10,3219.54,0.28
ORD0162,05-02-2025,Pooja Menon,East,Clothing,11674.04,17,750.74,0.33
ORD0163,07-05-2025,Vikram Das,East,Clothing,15741.62,18,1952.68,0.28
ORD0164,10-08-2025,Aditya Roy,East,Sports,13640.54,5,1218.76,0.26
ORD0165,26-08-2025,Ananya Singh,East,Office Supplies,52383.01,12,10396.3,0.03
ORD0166,20-04-2025,Ananya Singh,North,Clothing,51171.55,14,10561.63,0.19
ORD0167,17-02-2025,Ananya Singh,West,Clothing,2367.05,8,478.28,0.03
ORD0168,18-07-2025,Rahul Verma,South,Sports,17602.03,13,4345.86,0.23
ORD0169,04-12-2025,Meera Nair,North,Home Decor,57813.35,16,7983.13,0.01
ORD0170,12-10-2025,Karthik Rao,South,Electronics,67299.81,18,9247.88,0.11
ORD0171,04-03-2025,Sneha Reddy,West,Office Supplies,35027.68,20,8508.54,0.28
ORD0172,13-12-2025,Neha Joshi,South,Electronics,6458.4,19,1146.93,0.18
ORD0173,12-06-2025,Vikram Das,East,Clothing,3675.39,2,388.99,0.17
ORD0174,28-05-2025,Aditya Roy,West,Office Supplies,3699.72,9,680.23,0.2
ORD0175,30-10-2025,Neha Joshi,West,Electronics,15925.77,3,1675.69,0.17
ORD0176,25-03-2025,Neha Joshi,West,Office Supplies,9678.48,17,2843.66,0.04
ORD0177,04-11-2025,Aditya Roy,South,Electronics,56597.34,5,13694.69,0.14
ORD0178,11-05-2025,Aditya Roy,South,Sports,11568.89,9,2068.95,0.1
ORD0179,12-04-2025,Karthik Rao,West,Home Decor,64624.41,10,12629.39,0.03
ORD0180,23-11-2025,Aditya Roy,North,Sports,28379.78,5,2369.91,0.11
ORD0181,19-12-2025,Rahul Verma,West,Home Decor,1623.39,17,399.95,0.15
ORD0182,14-07-2025,Neha Joshi,East,Furniture,57810.54,3,12955.01,0.12
ORD0183,12-11-2025,Aditya Roy,South,Electronics,60902.15,18,5440.39,0.12
ORD0184,19-12-2025,Aditya Roy,East,Office Supplies,11967.95,3,1164.27,0.09
ORD0185,19-02-2025,Vikram Das,North,Home Decor,65018.97,17,12674.82,0.04
ORD0186,25-08-2025,Sneha Reddy,South,Sports,11061.3,12,1428.69,0.24
ORD0187,18-09-2025,Arjun Patel,West,Electronics,16773.29,19,3319.4,0.27
ORD0188,26-06-2025,Rohit Gupta,East,Clothing,64845.1,4,6537.05,0.21
ORD0189,21-01-2025,Priya Sharma,South,Office Supplies,38854.34,17,8002.24,0.08
ORD0190,16-07-2025,Neha Joshi,West,Furniture,15629.05,20,3832.67,0.12
ORD0191,18-08-2025,Pooja Menon,North,Electronics,71375.26,2,9472.63,0.12
ORD0192,03-05-2025,Arjun Patel,East,Sports,7705.72,5,648.14,0.2
ORD0193,20-10-2025,Meera Nair,South,Furniture,17832.38,14,1648.47,0.33
ORD0194,27-10-2025,Aarav Kumar,North,Office Supplies,3229.36,14,704.11,0.16
ORD0195,09-04-2025,Vikram Das,South,Clothing,19345.23,19,4226.24,0.1
ORD0196,24-02-2025,Meera Nair,North,Electronics,55391.84,3,10506.49,0.21
ORD0197,06-12-2025,Karthik Rao,South,Furniture,40994.11,3,8175.57,0.29
ORD0198,08-05-2025,Meera Nair,West,Home Decor,31172.24,9,5256.88,0.14
ORD0199,16-07-2025,Ananya Singh,East,Office Supplies,37312.87,20,4197.68,0.21
ORD0200,07-09-2025,Neha Joshi,South,Office Supplies,16962.93,18,3566.2,0.15
